%Aromatic,%Negative,%positive,%hydro,%cys,Pi,Weight,size,charge,salt,cysteine,Abundance,Enrichment
2.16802168,12.19512195,9.756097561,29.26829268,0,4.92,83972.9,10,0,0,0,-5.182963049,3.57E-01
5.959031657,13.59404097,12.29050279,40.96834264,0.744878957,5.37,53901.54,10,0,0,0,-6.69883066,3.64E-01
4.663212435,16.58031088,16.06217617,38.60103627,1.295336788,5.51,44057.86,10,0,0,0,#N/A,3.66E-01
3.416856492,13.34851936,12.2095672,37.85876993,0.13667426,5.21,241695.79,10,0,0,0,-5.700655185,3.75E-01
4.975609756,18.82926829,15.2195122,32.29268293,0.195121951,4.89,116676.54,10,0,0,0,#N/A,3.78E-01
2.183406114,15.28384279,9.170305677,36.24454148,0,4.41,25861.63,10,0,0,0,-5.336128026,3.78E-01
2.298850575,15.51724138,12.06896552,45.97701149,0,4.84,18577.78,10,0,0,0,-4.738431999,3.97E-01
1.715686275,19.60784314,15.93137255,27.94117647,0.12254902,4.96,92698.27,10,0,0,0,-6.035448493,3.98E-01
6.796116505,12.62135922,9.708737864,48.54368932,1.941747573,4.79,11103.79,10,0,0,0,-4.428895655,4.01E-01
8.033240997,12.46537396,13.29639889,39.33518006,0.27700831,5.03,33532.34,10,0,0,0,-5.396011807,4.01E-01
1.5625,10.15625,22.65625,36.71875,3.90625,6.56,8556.78,10,0,0,0,-4.297415736,4.26E-01
0.653594771,33.33333333,19.60784314,24.83660131,0,4.44,17462.5,10,0,0,0,#N/A,4.28E-01
3.092783505,12.37113402,14.94845361,47.42268041,0,5.58,16891.4,10,0,0,0,-5.493213352,4.33E-01
3.301886792,15.09433962,20.28301887,36.79245283,0,9.69,23891.25,10,0,0,0,#N/A,4.68E-01
4.265791632,10.82854799,15.58654635,40.52502051,0.73831009,9.32,136899.43,10,0,0,0,-6.187605225,4.73E-01
2.702702703,17.11711712,19.81981982,34.23423423,0.900900901,7.79,12993.99,10,0,0,0,#N/A,4.83E-01
4,12,14.66666667,34,0.666666667,5.95,17794.74,10,0,0,0,#N/A,4.83E-01
3.886010363,9.585492228,6.994818653,41.70984456,1.295336788,4.42,37003.38,10,0,0,0,-5.792917887,4.87E-01
2.830188679,11.32075472,13.20754717,52.83018868,0,8.96,11372.28,10,0,0,0,#N/A,4.91E-01
1.428571429,16.42857143,16.42857143,35,0.714285714,5.93,15969.93,10,0,0,0,#N/A,4.92E-01
2.455661664,16.91678035,14.59754434,35.47066849,0.34106412,5.07,163142.63,10,0,0,0,-5.899237583,4.97E-01
4.770992366,11.25954198,8.015267176,36.83206107,1.145038168,4.56,52062.88,10,0,0,0,#N/A,5.03E-01
7.518796992,14.09774436,9.586466165,40.78947368,2.255639098,4.43,47319.69,10,0,0,0,-6.057457175,5.06E-01
3.153153153,13.96396396,14.86486486,48.1981982,0.45045045,5.97,24036.49,10,0,0,0,-5.615815743,5.17E-01
10.33834586,11.65413534,8.082706767,35.52631579,0.37593985,4.58,58631.8,10,0,0,0,#N/A,5.21E-01
2.666666667,11.33333333,22,28.66666667,4.666666667,9.36,16733.95,10,0,0,0,#N/A,5.49E-01
4.827586207,7.586206897,12.4137931,45.51724138,0.689655172,7.02,13939.89,10,0,0,0,-4.589899594,5.49E-01
2.040816327,15.30612245,22.44897959,33.67346939,1.020408163,7.96,11050.21,10,0,0,0,#N/A,5.77E-01
3.723404255,16.4893617,20.74468085,36.70212766,2.127659574,8.3,21441.26,10,0,0,0,#N/A,5.86E-01
2.777777778,11.11111111,13.88888889,45.83333333,1.388888889,8.82,7902.2,10,0,0,0,#N/A,6.26E-01
5.769230769,12.5,9.615384615,48.07692308,1.923076923,4.79,11072.69,10,0,0,0,-4.169345246,6.31E-01
5.263157895,10.52631579,10.52631579,50.87719298,0.877192982,5.72,12157.87,10,0,0,0,#N/A,6.36E-01
5.387205387,15.48821549,16.83501684,38.38383838,0.336700337,6.39,33583.63,10,0,0,0,-5.215349597,6.47E-01
6.666666667,12.59259259,14.81481481,34.07407407,0,5.17,13289.62,10,0,0,0,-5.973854268,6.50E-01
5.28109029,10.56218058,7.495741056,38.16013629,1.533219761,4.6,61175.74,10,0,0,0,#N/A,6.55E-01
6.802721088,18.36734694,17.68707483,37.75510204,0.340136054,5.47,32989.58,10,0,0,0,#N/A,6.63E-01
3.93258427,13.29588015,12.7340824,32.58426966,0.374531835,5.42,59649.67,10,0,0,0,-5.455204861,6.78E-01
8.024691358,10.49382716,12.96296296,46.91358025,1.234567901,6.87,17259.5,10,0,0,0,-4.269234649,6.79E-01
3.658536585,6.097560976,17.07317073,40.24390244,6.097560976,9.36,8865.34,10,0,0,0,#N/A,6.83E-01
5.146036161,11.96105702,14.5340751,33.31015299,0.417246175,7.01,160578.47,10,0,0,0,#N/A,6.85E-01
3.677758319,12.60945709,16.46234676,34.67600701,1.313485114,8.87,126872.16,10,0,0,0,#N/A,6.85E-01
4.456521739,12.5,15.86956522,33.80434783,1.52173913,8.17,104786.33,10,0,0,0,#N/A,6.94E-01
1.973684211,9.868421053,25,36.84210526,2.631578947,6.56,8556.78,10,0,0,0,-4.297415736,7.01E-01
